time,temperature_2m,apparent_temperature,relative_humidity_2m,dew_point_2m,precipitation,precipitation_probability,weather_code,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2026-06-04T00:00:00+00:00,16.0,15.2,58.0,7.8,0.0,0.0,1,1.6,243.0,2.9
2026-06-04T01:00:00+00:00,15.0,14.2,62.0,7.8,0.0,3.0,3,1.9,248.0,2.5
2026-06-04T02:00:00+00:00,14.3,13.0,64.0,7.6,0.0,8.0,2,4.2,340.0,5.4
2026-06-04T03:00:00+00:00,14.1,13.9,73.0,9.4,0.0,5.0,3,0.7,360.0,5.8
2026-06-04T04:00:00+00:00,13.6,13.3,77.0,9.7,0.1,3.0,2,1.8,180.0,3.2
2026-06-04T05:00:00+00:00,13.6,13.4,77.0,9.6,0.0,0.0,2,0.5,315.0,3.6
2026-06-04T06:00:00+00:00,14.3,14.2,79.0,10.7,0.0,5.0,2,2.5,352.0,10.8
2026-06-04T07:00:00+00:00,16.1,16.2,73.0,11.3,0.0,0.0,2,2.3,18.0,8.6
2026-06-04T08:00:00+00:00,18.3,18.2,64.0,11.4,0.0,3.0,2,3.3,49.0,11.2
2026-06-04T09:00:00+00:00,20.2,20.1,56.0,11.1,0.0,0.0,1,3.1,69.0,11.9
2026-06-04T10:00:00+00:00,21.6,21.8,49.0,10.4,0.0,0.0,1,1.9,68.0,11.5
2026-06-04T11:00:00+00:00,22.6,23.2,45.0,10.1,0.0,8.0,2,2.3,321.0,18.4
2026-06-04T12:00:00+00:00,23.0,23.0,43.0,9.8,0.0,13.0,2,6.6,338.0,22.0
2026-06-04T13:00:00+00:00,23.1,22.7,40.0,8.8,0.0,8.0,2,4.8,297.0,25.9
2026-06-04T14:00:00+00:00,23.6,22.8,39.0,8.9,0.0,20.0,2,7.1,311.0,21.6
2026-06-04T15:00:00+00:00,23.6,22.2,38.0,8.5,0.0,18.0,3,7.8,326.0,24.1
2026-06-04T16:00:00+00:00,23.3,22.1,39.0,8.6,0.0,10.0,2,6.2,324.0,22.3
2026-06-04T17:00:00+00:00,23.2,22.4,43.0,9.9,0.0,15.0,2,5.3,332.0,19.4
2026-06-04T18:00:00+00:00,22.5,22.0,46.0,10.3,0.0,20.0,3,4.7,356.0,17.3
2026-06-04T19:00:00+00:00,21.9,21.8,48.0,10.4,0.0,13.0,2,1.8,79.0,14.8
2026-06-04T20:00:00+00:00,21.0,21.0,53.0,11.0,0.0,0.0,1,2.3,141.0,12.6
2026-06-04T21:00:00+00:00,19.1,19.2,64.0,12.1,0.0,3.0,2,4.0,117.0,8.3
2026-06-04T22:00:00+00:00,17.5,18.0,75.0,13.0,0.0,3.0,2,3.1,135.0,9.7
2026-06-04T23:00:00+00:00,16.9,17.1,74.0,12.2,0.0,0.0,1,3.2,117.0,5.0
2026-06-05T00:00:00+00:00,16.0,16.1,77.0,12.0,0.0,0.0,0,3.2,90.0,4.7
2026-06-05T01:00:00+00:00,15.2,15.3,80.0,11.8,0.0,0.0,1,3.2,90.0,3.6
2026-06-05T02:00:00+00:00,14.4,14.3,82.0,11.4,0.0,0.0,1,3.6,84.0,3.6
2026-06-05T03:00:00+00:00,13.8,13.5,84.0,11.1,0.0,0.0,1,4.3,85.0,4.0
2026-06-05T04:00:00+00:00,13.1,12.8,86.0,10.8,0.0,0.0,1,4.0,90.0,4.0
2026-06-05T05:00:00+00:00,13.1,12.9,88.0,11.1,0.0,0.0,2,3.6,84.0,4.0
2026-06-05T06:00:00+00:00,14.1,14.3,87.0,12.0,0.0,0.0,3,2.9,90.0,7.6
2026-06-05T07:00:00+00:00,16.1,16.4,80.0,12.7,0.0,0.0,2,4.3,95.0,13.0
2026-06-05T08:00:00+00:00,18.3,18.6,71.0,12.9,0.0,0.0,3,4.5,104.0,14.8
2026-06-05T09:00:00+00:00,19.8,20.0,64.0,12.8,0.0,0.0,3,5.0,111.0,16.6
2026-06-05T10:00:00+00:00,20.4,20.7,62.0,12.9,0.1,8.0,3,4.7,81.0,18.4
2026-06-05T11:00:00+00:00,21.0,21.2,60.0,12.9,0.1,8.0,3,5.2,65.0,19.1
2026-06-05T12:00:00+00:00,21.8,22.6,55.0,12.3,0.0,8.0,2,4.2,70.0,16.9
2026-06-05T13:00:00+00:00,22.5,23.4,50.0,11.6,0.0,3.0,2,3.7,61.0,17.6
2026-06-05T14:00:00+00:00,23.1,23.9,47.0,11.2,0.0,8.0,2,3.1,36.0,16.9
2026-06-05T15:00:00+00:00,23.5,23.5,47.0,11.5,0.0,8.0,2,4.3,24.0,16.2
2026-06-05T16:00:00+00:00,23.5,23.0,45.0,10.9,0.0,5.0,2,5.0,30.0,17.3
2026-06-05T17:00:00+00:00,23.1,22.3,45.0,10.6,0.0,8.0,2,6.6,45.0,19.8
2026-06-05T18:00:00+00:00,22.5,22.1,49.0,11.2,0.0,5.0,1,5.4,37.0,20.2
2026-06-05T19:00:00+00:00,22.1,21.8,50.0,11.2,0.0,5.0,1,4.8,27.0,15.8
2026-06-05T20:00:00+00:00,21.0,21.1,56.0,11.9,0.0,5.0,1,3.4,32.0,14.0
2026-06-05T21:00:00+00:00,19.5,20.0,64.0,12.5,0.0,0.0,1,2.5,45.0,8.3
2026-06-05T22:00:00+00:00,18.3,18.5,66.0,11.9,0.0,0.0,0,2.6,56.0,4.0
2026-06-05T23:00:00+00:00,17.5,17.3,66.0,11.1,0.0,0.0,1,3.6,53.0,4.0
2026-06-06T00:00:00+00:00,16.7,16.1,67.0,10.6,0.0,0.0,1,5.8,68.0,10.4
2026-06-06T01:00:00+00:00,15.4,15.1,74.0,10.8,0.0,0.0,1,4.3,85.0,11.5
2026-06-06T02:00:00+00:00,14.5,13.7,70.0,9.1,0.0,0.0,1,3.6,96.0,8.3
2026-06-06T03:00:00+00:00,13.9,13.2,73.0,9.1,0.0,0.0,1,3.3,84.0,6.8
2026-06-06T04:00:00+00:00,13.3,12.6,75.0,8.9,0.0,0.0,1,3.0,76.0,5.4
2026-06-06T05:00:00+00:00,13.2,12.4,74.0,8.7,0.0,0.0,1,3.3,77.0,4.0
2026-06-06T06:00:00+00:00,14.4,13.6,69.0,8.8,0.0,0.0,1,3.4,58.0,7.9
2026-06-06T07:00:00+00:00,16.0,15.1,63.0,9.0,0.0,0.0,1,4.7,86.0,13.7
2026-06-06T08:00:00+00:00,17.9,16.8,56.0,9.0,0.0,0.0,0,5.4,90.0,16.6
2026-06-06T09:00:00+00:00,19.7,18.8,52.0,9.6,0.0,0.0,1,5.1,86.0,16.6
2026-06-06T10:00:00+00:00,21.2,20.9,46.0,9.2,0.0,0.0,0,5.4,86.0,17.6
2026-06-06T11:00:00+00:00,22.4,22.6,42.0,8.8,0.0,0.0,0,5.0,69.0,17.6
2026-06-06T12:00:00+00:00,23.2,23.7,40.0,8.9,0.0,0.0,1,5.1,51.0,17.6
2026-06-06T13:00:00+00:00,23.9,24.2,38.0,8.7,0.0,0.0,1,5.4,37.0,18.0
2026-06-06T14:00:00+00:00,24.4,24.6,37.0,8.8,0.0,0.0,1,5.8,30.0,18.7
2026-06-06T15:00:00+00:00,24.6,24.2,36.0,8.5,0.0,0.0,1,6.7,36.0,20.9
2026-06-06T16:00:00+00:00,24.5,23.4,36.0,8.4,0.0,0.0,1,7.6,45.0,22.7
